data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop
2022-01-03,segunda-feira,08:00:00,ES,101,"269,8",SERRA,Reação tardia ou ineficiente do condutor,Queda de ocupante de veículo,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Múltipla,Reta,Sim,2,0,1,0,1,0,1,2,"-20,21740496","-40,26990578",SPRF-ES,DEL02-ES,UOP01-DEL02-ES
2022-01-04,terça-feira,07:00:00,ES,262,"63,9",MARECHAL FLORIANO,Demais falhas mecânicas ou elétricas,Tombamento,Sem Vítimas,Pleno dia,Crescente,Céu Claro,Simples,Curva;Declive,Não,2,0,0,0,1,3,0,4,"-20,42077468","-40,80814348",SPRF-ES,DEL01-ES,UOP02-DEL01-ES
2022-01-04,terça-feira,13:10:00,ES,262,"2,2",CARIACICA,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Dupla,Interseção de Vias,Sim,2,0,1,0,1,0,1,2,"-20,33183066","-40,36246061",SPRF-ES,DEL01-ES,UOP01-DEL01-ES
2022-01-04,terça-feira,19:10:00,ES,101,93,JAGUARE,Ultrapassagem Indevida,Colisão lateral sentido oposto,Com Vítimas Feridas,Plena Noite,Crescente,Nublado,Simples,Reta,Não,4,0,1,1,1,3,2,5,"-18,92266916","-39,96785068",SPRF-ES,DEL04-ES,UOP02-DEL04-ES
2022-01-04,terça-feira,21:30:00,ES,101,"420,7",CACHOEIRO DE ITAPEMIRIM,Condutor Dormindo,Colisão frontal,Com Vítimas Fatais,Plena Noite,Crescente,Céu Claro,Simples,Curva,Não,2,1,0,0,1,0,0,2,"-20,9657538","-41,10735825",SPRF-ES,DEL03-ES,UOP02-DEL03-ES
2022-01-05,quarta-feira,12:30:00,ES,101,293,CARIACICA,Velocidade Incompatível,Engavetamento,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Múltipla,Reta;Em Obras,Sim,5,0,1,0,3,1,1,5,"-20,31526144","-40,39567044",SPRF-ES,DEL01-ES,UOP01-DEL01-ES
2022-01-05,quarta-feira,16:45:00,ES,262,"6,5",CARIACICA,Manobra de mudança de faixa,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Dupla,Reta,Sim,4,0,2,0,2,0,2,3,"-20,34007493","-40,39451305",SPRF-ES,DEL01-ES,UOP01-DEL01-ES
2022-01-05,quarta-feira,17:10:00,ES,101,"71,8",SAO MATEUS,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Não,2,0,1,0,0,1,1,2,"-18,753513","-39,862598",SPRF-ES,DEL04-ES,UOP02-DEL04-ES
2022-01-06,quinta-feira,15:05:00,ES,262,"39,9",DOMINGOS MARTINS,Chuva,Colisão frontal,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Simples,Reta,Não,5,0,0,4,1,0,4,2,"-20,3802679","-40,63000864",SPRF-ES,DEL01-ES,UOP01-DEL01-ES
2022-01-06,quinta-feira,20:30:00,ES,262,"63,9",MARECHAL FLORIANO,Velocidade Incompatível,Tombamento,Com Vítimas Feridas,Plena Noite,Crescente,Nublado,Simples,Curva,Não,2,0,1,0,0,2,1,3,"-20,41797008","-40,81618087",SPRF-ES,DEL01-ES,UOP02-DEL01-ES
2022-01-07,sexta-feira,15:00:00,ES,101,"369,2",ANCHIETA,Reação tardia ou ineficiente do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Simples,Reta,Não,5,0,2,0,3,0,2,2,"-20,76055768","-40,75851633",SPRF-ES,DEL03-ES,UOP01-DEL03-ES
2022-01-08,sábado,02:00:00,ES,101,61,SAO MATEUS,Acessar a via sem observar a presença dos outros veículos,Colisão lateral mesmo sentido,Sem Vítimas,Plena Noite,Crescente,Céu Claro,Simples,Interseção de Vias,Sim,5,0,0,0,3,2,0,3,"-18,68153217","-39,86364755",SPRF-ES,DEL04-ES,UOP02-DEL04-ES
2022-01-10,segunda-feira,09:00:00,ES,101,71,SAO MATEUS,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Não,3,0,1,0,2,0,1,3,"-18,753513","-39,862598",SPRF-ES,DEL04-ES,UOP02-DEL04-ES
2022-01-10,segunda-feira,16:00:00,ES,101,228,FUNDAO,Condutor deixou de manter distância do veículo da frente,Colisão lateral mesmo sentido,Sem Vítimas,Plena Noite,Crescente,Céu Claro,Simples,Reta,Não,2,0,0,0,2,0,0,2,"-19,91868701","-40,40570613",SPRF-ES,DEL02-ES,UOP01-DEL02-ES
2022-01-12,quarta-feira,07:40:00,ES,101,296,CARIACICA,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Múltipla,Curva,Sim,3,0,0,1,1,1,1,3,"-20,34029997","-40,40405712",SPRF-ES,DEL01-ES,UOP01-DEL01-ES
2022-01-12,quarta-feira,11:30:00,ES,262,"5,5",CARIACICA,Desrespeitar a preferência no cruzamento,Colisão transversal,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Retorno Regulamentado;Reta,Sim,2,0,0,1,1,0,1,2,"-20,33707281","-40,38649924",SPRF-ES,DEL01-ES,UOP01-DEL01-ES
2022-01-13,quinta-feira,00:40:00,ES,447,"12,7",VILA VELHA,Condutor Dormindo,Colisão com objeto,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Dupla,Reta,Sim,2,0,1,0,0,1,1,2,"-20,35784325","-40,3328294",SPRF-ES,DEL01-ES,UOP01-DEL01-ES
2022-01-14,sexta-feira,02:30:00,ES,101,110,SOORETAMA,Condutor Dormindo,Saída de leito carroçável,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Simples,Reta,Não,1,0,1,0,0,0,1,1,"-19,06215201","-40,03484798",SPRF-ES,DEL04-ES,UOP01-DEL04-ES
2022-01-14,sexta-feira,08:35:00,ES,101,"264,3",SERRA,Reação tardia ou ineficiente do condutor,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Múltipla,Curva,Sim,3,0,0,1,1,1,1,3,"-20,17292791","-40,26736384",SPRF-ES,DEL02-ES,UOP01-DEL02-ES
2022-01-14,sexta-feira,19:50:00,ES,101,325,GUARAPARI,Reação tardia ou ineficiente do condutor,Colisão traseira,Sem Vítimas,Plena Noite,Crescente,Céu Claro,Dupla,Reta,Não,4,0,0,0,3,1,0,4,"-20,55491301","-40,48064614",SPRF-ES,DEL03-ES,UOP01-DEL03-ES
2022-01-14,sexta-feira,22:40:00,ES,259,54,COLATINA,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Dupla,Reta;Aclive,Não,3,0,1,0,1,1,1,3,"-19,49717055","-40,63711495",SPRF-ES,DEL02-ES,UOP01-DEL02-ES
